('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      441    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      536    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      442    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      134    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        5    0.000    0.000    0.000    0.000 cd.py:319(filter_alt_coherence_matches)
      519    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2316(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.055    0.055 dammit.py:1(<module>)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      288    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      184    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      181    0.000    0.000    0.006    0.000 _parser.py:97(closegroup)
       52    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:762(__init__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        6    0.000    0.000    0.001    0.000 cookiejar.py:1487(_cookie_from_cookie_tuple)
      343    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
