('Market Cap', '3.515T')
         620852 function calls (597109 primitive calls) in 1.927 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       82    0.000    0.000    0.000    0.000 dataclasses.py:1172(<genexpr>)
       82    0.000    0.000    0.000    0.000 dataclasses.py:411(<genexpr>)
       81    0.000    0.000    0.000    0.000 typing.py:1221(<genexpr>)
       79    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.005    0.000 css_parser.py:450(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
       77    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
       76    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
       76    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
       74    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
    74/59    0.000    0.000    0.085    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       73    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 utils.py:134(is_cjk)
       69    0.000    0.000    0.000    0.000 utils.py:184(is_arabic)
       69    0.000    0.000    0.000    0.000 utils.py:214(is_unprintable)
       69    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       68    0.000    0.000    0.000    0.000 utils.py:79(is_punctuation)
    67/24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    67/24    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       65    0.001    0.000    0.021    0.000 css_match.py:1383(select)
       65    0.000    0.000    0.021    0.000 css_match.py:1478(iselect)
